Article,Article Description,Movement Type Text,Movement type,Qty in unit of entry,Reference,Entry Date,Sales Value inc. VAT,Sales Value,Document Header Text,Document Date,Order Price Unit,Qty in OPUn,Amt.in loc.cur.,Purchase order,Base Unit of Measure,Debit/Credit ind,User Name,Trans./Event Type
1372858,Shisei White Lucent 14932 GEL,GR goods receipt,101,5,0183284484,14/09/2021,"2,975.00",0.00,,16/08/2021,PC,5,"1,228.54",4503762533,PC,S,ZHANGJ,WE
1373110,Clarins Men 80048906 DUO,GR goods receipt,101,6,0183284487,14/09/2021,"4,080.00",0.00,,16/08/2021,PC,6,"1,971.11",4503762529,PC,S,ZHANGJ,WE
1373111,Lancô Genifique LA109501 ESER,GR goods receipt,101,12,0183284502,14/09/2021,"8,340.00",0.00,,16/08/2021,PC,12,"4,163.92",4503762532,PC,S,ZHANGJ,WE
1373112,Lancô Genifique TM724400 DUO,GR goods receipt,101,9,0183284452,14/09/2021,"11,295.00",0.00,,16/08/2021,PC,9,"5,640.09",4503762305,PC,S,ZHANGJ,WE
1373112,Lancô Genifique TM724400 DUO,GR goods receipt,101,9,0183284452,14/09/2021,"11,295.00",0.00,,16/08/2021,PC,9,"5,640.09",4503762305,PC,S,ZHANGJ,WE
1373112,Lancô Genifique TM724400 DUO,GR goods receipt,101,9,0183284502,14/09/2021,"11,295.00",0.00,,16/08/2021,PC,9,"5,640.09",4503762532,PC,S,ZHANGJ,WE
1373114,T Lancô Genifiq LA110100 ESER,GR for acct assgmnt,101,6,0183284512,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763481,PC,S,ZHANGJ,WE
1373114,T Lancô Genifiq LA110100 ESER,GR for acct assgmnt,101,3,0183284521,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503762544,PC,S,ZHANGJ,WE
1373115,T Clarins White 80044334 WHIT,GR for acct assgmnt,101,3,0183284516,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763478,PC,S,ZHANGJ,WE
1373417,HP Jardin L 100082V0 EDTS,GR goods receipt,101,12,0183290275,14/09/2021,"13,260.00",0.00,,30/08/2021,PC,12,"4,117.65",4503770735,PC,S,ZHANGJ,WE
1373418,HP Jardins 100083V0 SET,GR goods receipt,101,6,0183290275,14/09/2021,"6,240.00",0.00,,30/08/2021,PC,6,"2,749.44",4503770735,PC,S,ZHANGJ,WE
1373427,T HP Jardin L 100088V0 EDTS,GR for acct assgmnt,101,3,0183290281,14/09/2021,0.00,0.00,,30/08/2021,PC,3,0.24,4503770729,PC,S,ZHANGJ,WE
1377327,T Armani Power LA403700 MUP,GR for acct assgmnt,101,3,0183284475,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763476,PC,S,ZHANGJ,WE
1377329,T Armani Power LA404000 MUP,GR for acct assgmnt,101,3,0183284475,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763476,PC,S,ZHANGJ,WE
1377649,Lancô Absolu L8209100 CR,GR goods receipt,101,12,0183284502,14/09/2021,"13,200.00",0.00,,16/08/2021,PC,12,"6,591.91",4503762532,PC,S,ZHANGJ,WE
1377864,Lancô Absolu TS281300 SET,GR goods receipt,101,9,0183284502,14/09/2021,"17,820.00",0.00,,16/08/2021,PC,9,"8,898.22",4503762532,PC,S,ZHANGJ,WE
1377865,T Lancô Absolu L8210000 CR,GR for acct assgmnt,101,3,0183284512,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763481,PC,S,ZHANGJ,WE
1378204,L'Occi Immort 27BY015I19 ECR,GR goods receipt,101,6,0183284488,14/09/2021,"2,250.00",0.00,,16/08/2021,PC,6,"1,055.44",4503762531,PC,S,ZHANGJ,WE
1378205,L'Occi Immort 27CP050I19 DCR,GR goods receipt,101,6,0183284488,14/09/2021,"3,360.00",0.00,,16/08/2021,PC,6,"1,576.89",4503762531,PC,S,ZHANGJ,WE
1378207,L'Occi Immort 27EV200I19 TO,GR goods receipt,101,12,0183284488,14/09/2021,"3,000.00",0.00,,16/08/2021,PC,12,"1,407.25",4503762531,PC,S,ZHANGJ,WE
1378210,T L'Occi FIFO 53BY015I22 ECR,GR for acct assgmnt,101,1,0183284506,14/09/2021,0.00,0.00,,16/08/2021,PC,1,0.08,4503763480,PC,S,ZHANGJ,WE
1378211,T L'Occi FIFO 53CP050I22 DCR,GR for acct assgmnt,101,1,0183284506,14/09/2021,0.00,0.00,,16/08/2021,PC,1,0.08,4503763480,PC,S,ZHANGJ,WE
1378212,T L'Occi Immort 53EV200I19 TO,GR for acct assgmnt,101,1,0183284506,14/09/2021,0.00,0.00,,16/08/2021,PC,1,0.08,4503763480,PC,S,ZHANGJ,WE
1378216,Shisei White Lucent 14934 EM,GR goods receipt,101,5,0183284484,14/09/2021,"2,500.00",0.00,,16/08/2021,PC,5,"1,039.78",4503762533,PC,S,ZHANGJ,WE
1378218,Shisei Benefiance 14953 CR,GR goods receipt,101,8,0183284484,14/09/2021,"5,680.00",0.00,,16/08/2021,PC,8,"2,376.90",4503762533,PC,S,ZHANGJ,WE
1378219,Shisei Benefiance 14954 CR,GR goods receipt,101,9,0183284484,14/09/2021,"6,390.00",0.00,,16/08/2021,PC,9,"2,674.02",4503762533,PC,S,ZHANGJ,WE
1378325,T L'Oréa Revita TS437400 CL,GR for acct assgmnt,101,6,0183284524,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763484,PC,S,ZHANGJ,WE
1379829,Kiehls Calendula S3198300 CR,GR goods receipt,101,12,0183284489,14/09/2021,"4,860.00",0.00,,16/08/2021,PC,12,"2,427.03",4503762534,PC,S,ZHANGJ,WE
1379970,Kiehls Calendula S3198500 CR,GR goods receipt,101,3,0183286971,14/09/2021,"1,920.00",0.00,,23/08/2021,PC,3,958.81,4503767156,PC,S,ZHANGJ,WE
1379970,Kiehls Calendula S3198500 CR,GR goods receipt,101,6,0183284489,14/09/2021,"3,840.00",0.00,,16/08/2021,PC,6,"1,917.62",4503762534,PC,S,ZHANGJ,WE
1379978,T Kiehls Calendula S3198400 CR,GR for acct assgmnt,101,6,0183284519,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763483,PC,S,ZHANGJ,WE
1380104,Shu Ue Unlimited F7237000 MUP,GR goods receipt,101,3,0183284480,14/09/2021,"1,305.00",0.00,,16/08/2021,PC,3,651.57,4503762526,PC,S,ZHANGJ,WE
1380106,Shu Ue Unlimited F7237300 MUP,GR goods receipt,101,2,0183284480,14/09/2021,870.00,0.00,,16/08/2021,PC,2,434.38,4503762526,PC,S,ZHANGJ,WE
1380108,Shu Ue Unlimited F7238000 MUP,GR goods receipt,101,3,0183284480,14/09/2021,"1,305.00",0.00,,16/08/2021,PC,3,651.57,4503762526,PC,S,ZHANGJ,WE
1380109,Shu Ue Unlimited F7238100 MUP,GR goods receipt,101,3,0183284480,14/09/2021,"1,305.00",0.00,,16/08/2021,PC,3,651.57,4503762526,PC,S,ZHANGJ,WE
1380150,Shu Ue Unlimited F7238500 MUP,GR goods receipt,101,3,0183286963,14/09/2021,"1,305.00",0.00,,23/08/2021,PC,3,651.57,4503768494,PC,S,ZHANGJ,WE
1380151,Shu Ue Unlimited F7238600 MUP,GR goods receipt,101,3,0183284480,14/09/2021,"1,305.00",0.00,,16/08/2021,PC,3,651.57,4503762526,PC,S,ZHANGJ,WE
1380153,Shu Ue Unlimited F7238900 MUP,GR goods receipt,101,3,0183284480,14/09/2021,"1,305.00",0.00,,16/08/2021,PC,3,651.57,4503762526,PC,S,ZHANGJ,WE
1380154,Shu Ue Unlimited F7239000 MUP,GR goods receipt,101,3,0183286963,14/09/2021,"1,305.00",0.00,,23/08/2021,PC,3,651.57,4503768494,PC,S,ZHANGJ,WE
1380158,T Shu Ue Unlimite TS174100 MUP,GR for acct assgmnt,101,3,0183284523,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763475,PC,S,ZHANGJ,WE
1380159,T Shu Ue Unlimite TS174200 MUP,GR for acct assgmnt,101,3,0183284523,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763475,PC,S,ZHANGJ,WE
1380161,T Shu Ue Unlimite TS218900 MUP,GR for acct assgmnt,101,3,0183284523,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763475,PC,S,ZHANGJ,WE
1380163,T Shu Ue Unlimite TS219800 MUP,GR for acct assgmnt,101,3,0183284523,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763475,PC,S,ZHANGJ,WE
1380164,T Shu Ue Unlimite TS219900 MUP,GR for acct assgmnt,101,3,0183284523,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763475,PC,S,ZHANGJ,WE
1380167,T Shu Ue Unlimite TS711200 MUP,GR for acct assgmnt,101,3,0183284523,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763475,PC,S,ZHANGJ,WE
1380169,T Shu Ue Unlimite TS711400 MUP,GR for acct assgmnt,101,3,0183286985,14/09/2021,0.00,0.00,,23/08/2021,PC,3,0.24,4503769058,PC,S,ZHANGJ,WE
1380170,T Shu Ue Unlimite TS711500 MUP,GR for acct assgmnt,101,3,0183284523,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763475,PC,S,ZHANGJ,WE
1380314,T Bioth Aquapow LA373500 MCARE,GR for acct assgmnt,101,3,0183284533,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763477,PC,S,ZHANGJ,WE
1380778,Cliniq Steps KG4001 SET,GR goods receipt,101,48,0183284446,14/09/2021,"21,120.00",0.00,,16/08/2021,PC,48,"12,144.77",4503762523,PC,S,ZHANGJ,WE
1380779,Cliniq Moi.Surge KH9701 ECR,GR goods receipt,101,6,0183284534,14/09/2021,"2,190.00",0.00,,16/08/2021,PC,6,"1,259.78",4503764545,PC,S,ZHANGJ,WE
1380786,T Cliniq Moi.Su KH97010000 ECR,GR for acct assgmnt,101,2,0183284602,14/09/2021,0.00,0.00,,16/08/2021,PC,2,0.16,4503765810,PC,S,ZHANGJ,WE
1382746,Armani Crema Ner LA143000 CR,GR goods receipt,101,6,0183284478,14/09/2021,"18,240.00",0.00,,16/08/2021,PC,6,"9,108.10",4503762527,PC,S,ZHANGJ,WE
1382760,T Lancô Absolue L8855400 ESER,GR for acct assgmnt,101,3,0183284512,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763481,PC,S,ZHANGJ,WE
1383849,Lancô UV Expert F7123500 GEL,GR goods receipt,101,12,0183284502,14/09/2021,"6,840.00",0.00,,16/08/2021,PC,12,"3,415.00",4503762532,PC,S,ZHANGJ,WE
1384050,Lancô Absolue Pre TS167900 SET,GR goods receipt,101,6,0183284502,14/09/2021,"51,270.00",0.00,,16/08/2021,PC,6,"25,601.38",4503762532,PC,S,ZHANGJ,WE
1384053,T Lancô UV Expert F7123200 GEL,GR for acct assgmnt,101,6,0183284512,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763481,PC,S,ZHANGJ,WE
1384300,Kiehls Dermatol S3118000 SUNG,GR goods receipt,101,9,0183284489,14/09/2021,"4,635.00",0.00,,16/08/2021,PC,9,"2,314.02",4503762534,PC,S,ZHANGJ,WE
1384301,T Kiehls Dermato S3118100 SUNG,GR for acct assgmnt,101,3,0183284519,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763483,PC,S,ZHANGJ,WE
1384442,L'Oréa Revitalift TS285900 SET,GR goods receipt,101,6,0183284490,14/09/2021,"5,460.00",0.00,,16/08/2021,PC,6,"2,441.96",4503762535,PC,S,ZHANGJ,WE
1385781,Clarins Hydra 80018822 EM,GR goods receipt,101,3,0183284487,14/09/2021,"1,380.00",0.00,,16/08/2021,PC,3,666.76,4503762529,PC,S,ZHANGJ,WE
1385786,Clarins Extra 80058304 ECR,GR goods receipt,101,6,0183290266,14/09/2021,"3,000.00",0.00,,30/08/2021,PC,6,"1,449.66",4503770734,PC,S,ZHANGJ,WE
1385900,T Clarins Sun 80050619 SUNCR,GR for acct assgmnt,101,3,0183284516,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763478,PC,S,ZHANGJ,WE
1387326,D&G K by 30428500000 EDTS,GR goods receipt,101,6,0183289855,14/09/2021,"3,528.00",0.00,,30/08/2021,PC,6,"1,504.12",4503762543,PC,S,ZHANGJ,WE
1387327,D&G K by 30494500000 EDTS,GR goods receipt,101,6,0183289855,14/09/2021,"4,860.00",0.00,,30/08/2021,PC,6,"2,073.29",4503762543,PC,S,ZHANGJ,WE
1388050,Clarins Clean 80054983 CL,GR goods receipt,101,3,0183284487,14/09/2021,840.00,0.00,,16/08/2021,PC,3,405.79,4503762529,PC,S,ZHANGJ,WE
1388051,Clarins Clean 80054984 CL,GR goods receipt,101,2,0183284487,14/09/2021,560.00,0.00,,16/08/2021,PC,2,270.53,4503762529,PC,S,ZHANGJ,WE
1388052,Clarins Clean 80054985 CL,GR goods receipt,101,2,0183284487,14/09/2021,560.00,0.00,,16/08/2021,PC,2,270.53,4503762529,PC,S,ZHANGJ,WE
1388053,T Clarins Clean 80054989 CL,GR for acct assgmnt,101,3,0183284516,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763478,PC,S,ZHANGJ,WE
1388054,T Clarins Clean 80054990 CL,GR for acct assgmnt,101,3,0183284516,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763478,PC,S,ZHANGJ,WE
1388055,T Clarins Clean 80054991 CL,GR for acct assgmnt,101,3,0183284516,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763478,PC,S,ZHANGJ,WE
1388379,Clarins Super Res 80050528 CR,GR goods receipt,101,2,0183284487,14/09/2021,"2,000.00",0.00,,16/08/2021,PC,2,966.28,4503762529,PC,S,ZHANGJ,WE
1388630,T Clarins Super Re 80050530 CR,GR for acct assgmnt,101,3,0183284516,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763478,PC,S,ZHANGJ,WE
1389723,Morocc MO-BLNS100EE BOOIL,GR goods receipt,101,12,0183284471,14/09/2021,"6,552.00",0.00,,16/08/2021,PC,12,"2,196.66",4503762536,PC,S,ZHANGJ,WE
1389726,Morocc Hair MO-DSL65EE HC,GR goods receipt,101,12,0183284471,14/09/2021,"1,104.00",0.00,,16/08/2021,PC,12,389.40,4503762536,PC,S,ZHANGJ,WE
1389727,Morocc Hair MO25EE HC,GR goods receipt,101,12,0183284471,14/09/2021,"2,220.00",0.00,,16/08/2021,PC,12,671.82,4503762536,PC,S,ZHANGJ,WE
1389740,T Morocc BLNST100EE BOOIL,GR for acct assgmnt,101,4,0183284511,14/09/2021,0.00,0.00,,16/08/2021,PC,4,0.32,4503763485,PC,S,ZHANGJ,WE
1389742,T Morocc Hair MO-DSDT65BPEE HC,GR for acct assgmnt,101,6,0183284511,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763485,PC,S,ZHANGJ,WE
1389743,T Morocc Hair MO-DSLT65BPEE HC,GR for acct assgmnt,101,6,0183284511,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763485,PC,S,ZHANGJ,WE
1389744,T Morocc Hair MOT25EE HC,GR for acct assgmnt,101,6,0183284511,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763485,PC,S,ZHANGJ,WE
1389745,T Morocc Hair MO-MRCT70EE HCO,GR for acct assgmnt,101,6,0183284511,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763485,PC,S,ZHANGJ,WE
1389746,T Morocc Hair MO-MRST70EE SHA,GR for acct assgmnt,101,6,0183284511,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763485,PC,S,ZHANGJ,WE
1389795,Lancô Genifique LA653300 SER,GR goods receipt,101,12,0183284502,14/09/2021,"19,260.00",0.00,,16/08/2021,PC,12,"9,617.51",4503762532,PC,S,ZHANGJ,WE
1389796,Lancô Genifique LA653600 SER,GR goods receipt,101,12,0183284502,14/09/2021,"12,660.00",0.00,,16/08/2021,PC,12,"6,322.03",4503762532,PC,S,ZHANGJ,WE
1389798,Lancô UV Expert TE349200 CR,GR goods receipt,101,9,0183284502,14/09/2021,"5,130.00",0.00,,16/08/2021,PC,9,"2,561.25",4503762532,PC,S,ZHANGJ,WE
1389799,Lancô Genifique TM727200 DUO,GR goods receipt,101,9,0183284502,14/09/2021,"26,010.00",0.00,,16/08/2021,PC,9,"12,987.68",4503762532,PC,S,ZHANGJ,WE
1389799,Lancô Genifique TM727200 DUO,GR goods receipt,101,9,0183284452,14/09/2021,"26,010.00",0.00,,16/08/2021,PC,9,"12,987.68",4503762305,PC,S,ZHANGJ,WE
1389799,Lancô Genifique TM727200 DUO,GR goods receipt,101,9,0183284452,14/09/2021,"26,010.00",0.00,,16/08/2021,PC,9,"12,987.68",4503762305,PC,S,ZHANGJ,WE
1389913,T Lancô Genifique LA653400 SER,GR for acct assgmnt,101,3,0183284521,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503762544,PC,S,ZHANGJ,WE
1389913,T Lancô Genifique LA653400 SER,GR for acct assgmnt,101,9,0183284512,14/09/2021,0.00,0.00,,16/08/2021,PC,9,0.72,4503763481,PC,S,ZHANGJ,WE
1389914,T Lancô Genifique LA653800 SER,GR for acct assgmnt,101,9,0183284512,14/09/2021,0.00,0.00,,16/08/2021,PC,9,0.72,4503763481,PC,S,ZHANGJ,WE
1390448,Lancô Setting L8356500 PD,GR goods receipt,101,6,0183284465,14/09/2021,"2,730.00",0.00,,16/08/2021,PC,6,"1,362.92",4503762532,PC,S,ZHANGJ,WE
1390449,Lancô UV Expert TS235200 SET,GR goods receipt,101,9,0183284502,14/09/2021,"13,095.00",0.00,,16/08/2021,PC,9,"6,538.66",4503762532,PC,S,ZHANGJ,WE
1390451,T Lancô UV Expert F7121800 CR,GR for acct assgmnt,101,6,0183284512,14/09/2021,0.00,0.00,,16/08/2021,PC,6,0.48,4503763481,PC,S,ZHANGJ,WE
1391037,La Mer Lip Treat 5RHP01 LIPCR,GR goods receipt,101,6,0183284453,14/09/2021,"4,170.00",0.00,,16/08/2021,PC,6,"2,398.59",4503762524,PC,S,ZHANGJ,WE
1391039,La Mer Lip Treat 5X2101 LBALM,GR goods receipt,101,6,0183284453,14/09/2021,"2,940.00",0.00,,16/08/2021,PC,6,"1,691.11",4503762524,PC,S,ZHANGJ,WE
1391041,La Mer The Hyd Illu 5X4301 MUP,GR goods receipt,101,5,0183284449,14/09/2021,"3,225.00",0.00,,16/08/2021,PC,5,"1,855.05",4503762524,PC,S,ZHANGJ,WE
1391080,T La Mer Lip 5RHP010000 LIPCR,GR for acct assgmnt,101,3,0183284482,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763473,PC,S,ZHANGJ,WE
1391088,T La Mer The Hy 5X43010000 MUP,GR for acct assgmnt,101,1,0183284482,14/09/2021,0.00,0.00,,16/08/2021,PC,1,0.08,4503763473,PC,S,ZHANGJ,WE
1396232,L'Occi Karit HKOCVKIT00340 SET,GR goods receipt,101,12,0183284488,14/09/2021,"3,240.00",0.00,,16/08/2021,PC,12,"1,519.06",4503762531,PC,S,ZHANGJ,WE
1396237,T L'Occi Almon 53MA075A19 HDCR,GR for acct assgmnt,101,3,0183284506,14/09/2021,0.00,0.00,,16/08/2021,PC,3,0.24,4503763480,PC,S,ZHANGJ,WE
1396685,Bvlgari RG Bloss 40470 EDPS,GR goods receipt,101,12,0183284496,14/09/2021,"12,600.00",0.00,,16/08/2021,PC,12,"4,467.54",4503762543,PC,S,ZHANGJ,WE
1396687,T Bvlgari RG Bloss 40476 EDPS,GR for acct assgmnt,101,2,0183284531,14/09/2021,0.00,0.00,,16/08/2021,PC,2,0.16,4503763489,PC,S,ZHANGJ,WE
